data_points,pair_l,mean_shape,difference,division,f1,recall,precision,accuracy
100,"((9, 9), 25, 1.5)","(9, 9)",25,1.5,0.961832061,0.945,0.979274611,0.9625
100,"((9, 9), 25, 2)","(9, 9)",25,2,0.948717949,0.925,0.973684211,0.95
100,"((9, 9), 25, 2.3)","(9, 9)",25,2.3,0.972431078,0.97,0.974874372,0.9725
100,"((9, 9), 25, 2.5)","(9, 9)",25,2.5,0.972568579,0.975,0.970149254,0.9725
100,"((9, 9), 30, 0.2)","(9, 9)",30,0.2,0.826979472,0.705,1,0.8525
100,"((9, 9), 30, 0.5)","(9, 9)",30,0.5,0.96373057,0.93,1,0.965
100,"((9, 9), 30, 1)","(9, 9)",30,1,0.969072165,0.94,1,0.97
100,"((9, 9), 30, 1.2)","(9, 9)",30,1.2,0.969072165,0.94,1,0.97
100,"((9, 9), 30, 1.5)","(9, 9)",30,1.5,0.969072165,0.94,1,0.97
100,"((9, 9), 30, 2)","(9, 9)",30,2,0.969072165,0.94,1,0.97
100,"((9, 9), 30, 2.3)","(9, 9)",30,2.3,0.969072165,0.94,1,0.97
100,"((9, 9), 30, 2.5)","(9, 9)",30,2.5,0.969072165,0.94,1,0.97
100,"((9, 9), 35, 0.2)","(9, 9)",35,0.2,0,0,0,0.5
100,"((9, 9), 35, 0.5)","(9, 9)",35,0.5,0.92513369,0.865,0.994252874,0.93
100,"((9, 9), 35, 1)","(9, 9)",35,1,0.925531915,0.87,0.988636364,0.93
100,"((9, 9), 35, 1.2)","(9, 9)",35,1.2,0.928381963,0.875,0.988700565,0.9325
100,"((9, 9), 35, 1.5)","(9, 9)",35,1.5,0.928381963,0.875,0.988700565,0.9325
100,"((9, 9), 35, 2)","(9, 9)",35,2,0.928381963,0.875,0.988700565,0.9325
100,"((9, 9), 35, 2.3)","(9, 9)",35,2.3,0.928381963,0.875,0.988700565,0.9325
100,"((9, 9), 35, 2.5)","(9, 9)",35,2.5,0.928381963,0.875,0.988700565,0.9325
100,"((9, 9), 40, 0.2)","(9, 9)",40,0.2,0,0,0,0.5
100,"((9, 9), 40, 0.5)","(9, 9)",40,0.5,0.837209302,0.72,1,0.86
100,"((9, 9), 40, 1)","(9, 9)",40,1,0.853868195,0.745,1,0.8725
100,"((9, 9), 40, 1.2)","(9, 9)",40,1.2,0.854700855,0.75,0.993377483,0.8725
100,"((9, 9), 40, 1.5)","(9, 9)",40,1.5,0.854700855,0.75,0.993377483,0.8725
100,"((9, 9), 40, 2)","(9, 9)",40,2,0.854700855,0.75,0.993377483,0.8725
100,"((9, 9), 40, 2.3)","(9, 9)",40,2.3,0.854700855,0.75,0.993377483,0.8725
100,"((9, 9), 40, 2.5)","(9, 9)",40,2.5,0.854700855,0.75,0.993377483,0.8725
100,"((9, 9), 45, 0.2)","(9, 9)",45,0.2,0,0,0,0.5
100,"((9, 9), 45, 0.5)","(9, 9)",45,0.5,0.746081505,0.595,1,0.7975
100,"((9, 9), 45, 1)","(9, 9)",45,1,0.753894081,0.605,1,0.8025
100,"((9, 9), 45, 1.2)","(9, 9)",45,1.2,0.761609907,0.615,1,0.8075
100,"((9, 9), 45, 1.5)","(9, 9)",45,1.5,0.769230769,0.625,1,0.8125
100,"((9, 9), 45, 2)","(9, 9)",45,2,0.77675841,0.635,1,0.8175
100,"((9, 9), 45, 2.3)","(9, 9)",45,2.3,0.769230769,0.625,1,0.8125
100,"((9, 9), 45, 2.5)","(9, 9)",45,2.5,0.769230769,0.625,1,0.8125
100,"((11, 11), 0, 0.2)","(11, 11)",0,0.2,0.801089918,0.735,0.880239521,0.8175
100,"((11, 11), 0, 0.5)","(11, 11)",0,0.5,0.607734807,0.55,0.679012346,0.645
100,"((11, 11), 0, 1)","(11, 11)",0,1,0.808510638,0.855,0.766816143,0.7975
100,"((11, 11), 0, 1.2)","(11, 11)",0,1.2,0.832929782,0.86,0.807511737,0.8275
100,"((11, 11), 0, 1.5)","(11, 11)",0,1.5,0.886699507,0.9,0.873786408,0.885
100,"((11, 11), 0, 2)","(11, 11)",0,2,0.885167464,0.925,0.848623853,0.88
100,"((11, 11), 0, 2.3)","(11, 11)",0,2.3,0.892086331,0.93,0.857142857,0.8875
