,data_points,pair_l,mean_shape,difference,division,f1,recall,precision,accuracy
187,500,"((11, 11), 15, 1.2)","(11, 11)",15,1.2,0.9005235602094239,0.86,0.945054945054945,0.905
188,500,"((11, 11), 15, 1.5)","(11, 11)",15,1.5,0.9076923076923077,0.885,0.9315789473684211,0.91
189,500,"((11, 11), 15, 2)","(11, 11)",15,2.0,0.9316455696202531,0.92,0.9435897435897436,0.9325
190,500,"((11, 11), 15, 2.3)","(11, 11)",15,2.3,0.9444444444444445,0.935,0.9540816326530612,0.945
191,500,"((11, 11), 15, 2.5)","(11, 11)",15,2.5,0.9254498714652956,0.9,0.9523809523809523,0.9275
192,500,"((11, 11), 20, 0.2)","(11, 11)",20,0.2,0.8360655737704918,0.765,0.9216867469879518,0.85
193,500,"((11, 11), 20, 0.5)","(11, 11)",20,0.5,0.8746666666666667,0.82,0.9371428571428572,0.8825
194,500,"((11, 11), 20, 1)","(11, 11)",20,1.0,0.9414758269720102,0.925,0.9585492227979274,0.9425
195,500,"((11, 11), 20, 1.2)","(11, 11)",20,1.2,0.9254498714652956,0.9,0.9523809523809523,0.9275
196,500,"((11, 11), 20, 1.5)","(11, 11)",20,1.5,0.9597989949748743,0.955,0.9646464646464646,0.96
197,500,"((11, 11), 20, 2)","(11, 11)",20,2.0,0.9597989949748743,0.955,0.9646464646464646,0.96
198,500,"((11, 11), 20, 2.3)","(11, 11)",20,2.3,0.975,0.975,0.975,0.975
199,500,"((11, 11), 20, 2.5)","(11, 11)",20,2.5,0.9545454545454546,0.945,0.9642857142857143,0.955
200,500,"((11, 11), 25, 0.2)","(11, 11)",25,0.2,0.9105263157894737,0.865,0.9611111111111111,0.915
201,500,"((11, 11), 25, 0.5)","(11, 11)",25,0.5,0.9333333333333333,0.91,0.9578947368421052,0.935
202,500,"((11, 11), 25, 1)","(11, 11)",25,1.0,0.9569620253164557,0.945,0.9692307692307692,0.9575
203,500,"((11, 11), 25, 1.2)","(11, 11)",25,1.2,0.9571788413098236,0.95,0.9644670050761421,0.9575
204,500,"((11, 11), 25, 1.5)","(11, 11)",25,1.5,0.964824120603015,0.96,0.9696969696969697,0.965
205,500,"((11, 11), 25, 2)","(11, 11)",25,2.0,0.9547738693467336,0.95,0.9595959595959596,0.955
206,500,"((11, 11), 25, 2.3)","(11, 11)",25,2.3,0.9701492537313433,0.975,0.9653465346534653,0.97
207,500,"((11, 11), 25, 2.5)","(11, 11)",25,2.5,0.965,0.965,0.965,0.965
208,500,"((11, 11), 30, 0.2)","(11, 11)",30,0.2,0.9214659685863875,0.88,0.967032967032967,0.925
209,500,"((11, 11), 30, 0.5)","(11, 11)",30,0.5,0.9669211195928753,0.95,0.9844559585492227,0.9675
210,500,"((11, 11), 30, 1)","(11, 11)",30,1.0,0.9597989949748743,0.955,0.9646464646464646,0.96
211,500,"((11, 11), 30, 1.2)","(11, 11)",30,1.2,0.9672544080604534,0.96,0.9746192893401016,0.9675
212,500,"((11, 11), 30, 1.5)","(11, 11)",30,1.5,0.9672544080604534,0.96,0.9746192893401016,0.9675
213,500,"((11, 11), 30, 2)","(11, 11)",30,2.0,0.9672544080604534,0.96,0.9746192893401016,0.9675
214,500,"((11, 11), 30, 2.3)","(11, 11)",30,2.3,0.9646464646464646,0.955,0.9744897959183674,0.965
215,500,"((11, 11), 30, 2.5)","(11, 11)",30,2.5,0.9646464646464646,0.955,0.9744897959183674,0.965
216,500,"((11, 11), 35, 0.2)","(11, 11)",35,0.2,0.9319371727748691,0.89,0.978021978021978,0.935
217,500,"((11, 11), 35, 0.5)","(11, 11)",35,0.5,0.9399477806788511,0.9,0.9836065573770492,0.9425
218,500,"((11, 11), 35, 1)","(11, 11)",35,1.0,0.9481865284974094,0.915,0.9838709677419355,0.95
219,500,"((11, 11), 35, 1.2)","(11, 11)",35,1.2,0.9427083333333334,0.905,0.9836956521739131,0.945
220,500,"((11, 11), 35, 1.5)","(11, 11)",35,1.5,0.9396325459317585,0.895,0.988950276243094,0.9425
221,500,"((11, 11), 35, 2)","(11, 11)",35,2.0,0.9396325459317585,0.895,0.988950276243094,0.9425
